pensionID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
pension7,36,37,38,39,40,41,5,3,2,1,1,0,6,4,4,2,1,0,6,4,4,2,1,0,8,4,6,5,1,0,57,22,26,22,4,8,86,33,51,42,8,11,385,120,128,209,14,17
pension70,414,415,416,417,418,419,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,5,2,3,2,1,2,21,7,12,6,3,18,43,14,28,18,5,35,105,33,58,50,10,49
pension71,420,421,422,423,424,425,0,0,2,1,0,0,1,1,5,3,0,0,7,3,6,6,1,1,18,7,11,11,2,1,195,54,53,63,5,5,473,149,162,258,12,10,673,211,217,341,20,16
pension72,426,427,428,429,430,431,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,5,1,4,6,0,3,59,22,29,25,4,11,285,80,83,104,10,16,579,177,190,315,20,21
pension73,432,433,434,435,436,437,0,0,1,0,0,1,0,0,4,1,0,1,10,2,16,8,1,1,116,32,40,42,4,6,142,40,50,63,8,9,163,49,66,82,9,10,177,53,73,106,10,19
pension74,438,439,440,441,442,443,0,0,1,0,0,0,7,3,3,2,1,0,9,4,4,3,1,0,9,5,8,8,1,1,79,30,35,33,5,6,312,99,95,120,9,11,625,191,202,330,22,19
pension75,444,445,446,447,448,449,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,1,1,2,3,0,44,14,16,10,6,9,69,19,24,28,8,15,109,33,48,42,11,24
pension76,450,451,452,453,454,455,1,0,2,1,0,0,8,4,3,4,1,0,8,4,4,4,1,0,10,5,8,9,1,0,56,22,27,24,4,8,266,74,74,85,10,11,528,158,174,288,17,19
pension77,456,457,458,459,460,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,1,1,15,23,6,15,5,2,34,49,13,39,25,7,48,85,24,53,39,10,52
pension78,462,463,464,465,466,467,1,0,0,1,0,0,1,0,0,1,0,0,4,1,4,4,0,0,9,4,5,5,1,3,58,22,27,24,4,10,233,67,69,71,10,16,485,145,158,256,15,20
pension79,468,469,470,471,472,473,24,9,6,3,1,0,27,9,9,4,1,1,27,9,9,4,1,3,29,9,12,5,2,4,51,14,20,13,5,5,67,17,30,26,8,14,86,24,39,43,11,20
pension8,42,43,44,45,46,47,4,1,2,1,1,0,12,4,7,5,2,1,14,7,10,8,2,1,40,15,17,20,3,2,281,88,87,122,7,2,616,192,200,314,17,6,682,215,222,348,20,17
pension80,474,475,476,477,478,479,0,0,1,0,0,0,1,0,2,0,0,1,1,0,2,2,0,1,5,0,6,6,1,2,281,88,87,127,7,5,620,192,204,325,17,14,702,222,229,367,22,23
pension81,480,481,482,483,484,485,2,0,0,1,0,0,2,0,0,2,0,0,3,0,3,2,0,2,18,5,13,15,2,2,247,75,71,93,6,5,554,173,182,297,14,15,691,215,223,361,21,21
pension82,486,487,488,489,490,491,0,0,0,0,0,0,0,1,1,2,0,0,1,1,2,3,0,0,39,15,15,9,2,4,44,16,19,18,4,10,88,31,43,39,9,15,347,106,109,161,14,20
pension83,492,493,494,495,496,497,0,0,1,0,0,0,7,3,3,2,1,0,8,4,4,4,1,0,9,5,8,8,1,1,79,30,35,33,5,6,313,99,97,126,10,11,628,192,203,329,21,17
pension84,498,499,500,501,502,503,0,0,0,0,0,0,1,1,3,3,0,0,3,1,5,4,0,0,16,6,9,11,3,1,50,19,32,31,4,6,327,104,112,157,10,11,627,192,206,334,20,16
pension85,504,505,506,507,508,509,13,4,3,3,1,1,13,4,6,3,1,1,13,4,6,3,1,1,15,4,7,3,1,5,22,4,10,4,2,17,37,9,18,15,3,24,57,15,31,30,7,48
pension86,510,511,512,513,514,515,0,0,0,1,0,0,3,1,2,2,1,0,31,11,9,6,3,0,31,11,10,7,3,3,46,16,17,12,6,10,71,20,29,33,8,15,143,47,62,58,13,25
pension87,516,517,518,519,520,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,13,6,6,2,1,1,20,7,11,5,3,11,41,13,34,24,6,28,67,20,44,34,9,47
pension88,522,523,524,525,526,527,0,0,0,0,0,0,11,3,7,8,0,1,15,4,7,8,0,1,17,5,11,13,2,7,21,5,17,14,4,18,51,14,29,19,7,37,60,16,35,22,8,48
pension89,528,529,530,531,532,533,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0,0,17,4,8,9,1,8,21,5,15,14,3,18,52,14,30,19,7,37,56,15,33,22,7,44
pension90,534,535,536,537,538,539,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,2,0,1,4,0,7,6,0,1,281,86,90,131,6,2,590,182,194,322,16,12,703,222,232,366,22,23
