,noun,cnt
3526,등대,99
466,잔뜩,99
2822,승마,99
1400,본인,99
3395,천원,99
2346,분화구,99
183,방향,99
2327,공부,99
909,동백꽃,98
873,푸른,98
1705,고생,98
136,모자,98
2389,등산,98
620,공유,98
1686,병원,98
603,실컷,98
1025,그날,97
4094,도넛,97
1168,골목,97
215,버거,97
3780,소금,97
443,햇살,97
1140,크림,96
302,결제,96
407,투숙,96
963,현실,96
1066,기념,96
1493,우유,96
2341,센터,95
835,포인트,95
1346,주로,95
1242,주의,95
1203,벌레,95
3095,소주,94
4823,조카,94
4503,우린,94
14,샐러드,94
237,지나,94
886,여행객,94
287,독채펜션,94
787,굳이,94
388,생선,94
1759,태풍,94
326,먹음,94
499,한쪽,93
666,소파,93
3430,수업,93
2230,마라도,93
1164,조천읍,93
544,전망,93
1133,평일,93
3648,녹차,93
3225,작품,93
2045,대여,93
1288,오설록,92
55,배편,92
377,활용,92
1344,대충,92
414,주소,92
633,조명,92
1234,공과금,92
999,그것,92
374,성인,91
2811,주기,91
2945,형태,91
9,브런치,91
3330,나이,91
508,아메리카노,91
6367,빈티,91
3886,수납,90
2189,인상,90
1095,물품,90
127,자꾸,90
1185,전기,90
3185,본격,90
1229,아파트,90
815,그게,89
1281,송악산,89
2820,이모,89
4683,집중,89
2990,핸드폰,89
1369,당시,89
1792,남아,89
465,먹거리,88
1323,옵션,88
253,체력,88
464,과일,88
971,트레킹,88
2386,야시장,88
3563,커튼,88
2339,세계,87
2618,창가,87
2046,드림,87
830,데크,87
3579,안전,87
1835,아가,86
1860,런가,86
2920,감동,86
3560,절대,86
89,서서,86
4295,거울,86
767,리스트,86
583,환경,86
1000,뷔페,86
135,진심,86
4981,이웃,85
983,이마트,85
2587,처럼,85
3129,오징어,85
1950,부엌,85
1286,수월봉,85
1862,안방,85
925,스타벅스,84
5695,횟집,84
476,냄비,84
2556,보지,84
510,옷장,84
1393,맞이,83
2775,한라봉,83
1238,새별오름,83
893,퇴사,83
1166,누가,83
896,신화,83
3496,금오름,83
3114,달달,83
1829,시스템,83
340,입실,83
792,해외,83
131,승선,83
4153,동문,82
1410,업체,82
1128,와인,82
1158,단점,82
2009,홈페이지,82
1074,교통,82
22,지점,82
513,걸이,82
514,반려견,82
3107,남자,82
1927,활동,81
975,나머지,81
1030,대박,81
573,경치,81
2186,언덕,81
1086,박일,81
1939,요가,81
611,비밀,81
1781,배송,81
1455,쇼파,81
992,샴푸,81
42,센스,80
1414,는걸,80
2877,입맛,80
849,일어나서,80
3906,감자,80
2297,가구,80
1716,다이소,79
656,놀이터,79
1029,참여,79
309,링크,79
211,저번,79
1340,낭만,79
10,에이,79
1171,분명,79
2347,동행,79
502,햇빛,79
558,일부러,79
917,현관,78
1282,사계,78
336,여러가지,78
1304,서우,78
812,최근,78
6355,라운드,78
1040,토끼,78
895,그린,78
306,최대,77
1022,안심,77
423,전용,77
2059,게임,77
8,나들이,77
2614,좌석,77
677,밥솥,77
1396,전망대,77
2307,해산물,77
2845,소요,76
2239,난리,76
1223,임대,76
2298,주시,76
498,용품,76
428,체크아웃,76
846,책상,76
561,단기,76
444,창밖,75
4294,물건,75
348,장난,75
202,소식,75
2421,보이지,75
1147,당일,75
2502,위로,75
606,만난,75
5057,책방,75
3111,초밥,75
1660,지난번,75
897,월드,75
1808,프라이,74
4978,베이커리,74
2610,망고,74
3003,오신,74
2688,뽀로로,74
2631,휴가,74
4489,후회,74
48,왕복,74
1435,만들기,74
2644,막걸리,74
864,욕조,74
9168,갈비,74
433,문자,73
570,종종,73
2078,회사,73
4612,짬뽕,73
58,인증샷,73
1658,불멍,73
4217,업무,73
1687,찾기,73
1150,안주,73
327,외식,73
1858,파란,73
457,음악,73
638,맞은편,72
3070,장기로,72
460,드라이기,72
1575,남쪽,72
5114,준비물,72
619,마음껏,71
1253,가이드,71
652,피아노,71
2302,인분,71
4882,만두,71
3097,크리스마스,71
4262,한장,71
1881,최대한,71
2904,색깔,71
1920,남원,70
2444,아쉬움,70
3933,무려,70
2267,선생님,70
1863,샤워실,70
512,건조대,70
2857,지엄,70
4854,밑반찬,69
2765,슬슬,69
993,바디,69
4046,인근,69
1928,이호,69
779,결론,69
1515,만끽,69
1616,동영상,69
1854,바다로,69
832,예술,68
291,식구,68
2385,수목원,68
747,보증금,68
272,주스,68
3207,바닷물,68
560,계란,68
4637,캐슬,68
3515,시즌,68
2962,하자,68
3578,건강,68
2100,신발,68
3686,베란다,68
402,계산,68
2029,가시,68
2909,의미,68
1320,가스,68
9584,외할머니,67
2514,정방폭포,67
5026,한라,67
1758,무지개,67
2382,옛날,67
1582,금은,67
3998,물가,67
2042,동부,67
3355,홀로,67
6249,봉봉,67
1181,일도,67
57,예매,67
156,카트,67
1357,카톡,67
3088,삼겹살,66
2390,등반,66
461,청소기,66
328,집밥,66
2531,대가,66
5168,셀카,66
2038,울림,66
236,말씀,66
445,야자수,66
134,예상,66
754,거주,66
4859,픽업,66
692,로망,66
2938,토스트,66
1910,세번,66
819,아내,66
1453,더블,66
2702,여객선,65
1647,레이스,65
2544,회원,65
540,볼거리,65
4751,레오,65
2957,한눈,65
1549,고지,65
1773,아예,65
1129,주민,65
1004,한국,64
1946,무척,64
679,기류,64
6686,정류장,64
3061,꿀팁,64
3008,상상,64
1978,육아,64
394,카카오,64
1850,환상,64
4598,볶음,64
1176,주일,64
842,세탁실,64
856,노트북,64
4594,밥상,64
5726,오지,64
429,셀프,64
871,커서,64
872,이서,64
845,연결,64
2925,소라,63
355,마스크,63
2468,만날,63
1210,보관,63
3077,바위,63
2475,선호,63
167,지정,63
1861,인용,63
1055,용머리,63
1042,걸음,63
612,댓글,63
435,모델링,63
2900,식물,63
2092,미소,63
1415,실감,63
106,음식점,62
3920,녀석,62
3132,물회,62
593,최소,62
2570,접시,62
3257,표현,62
1003,퀄리티,62
1359,성격,62
702,이자,62
2225,매표소,62
4370,구분,62
1209,세면대,62
4817,핑크,62
3622,쓰기,62
398,대략,62
3519,차귀도,61
1734,서도,61
3843,아쿠아플라넷,61
2431,가정,61
1378,빵집,61
4833,필름,61
1389,면서,61
5955,누나,61
3644,클래스,61
1632,번은,61
2692,반납,61
5446,복귀,61
2246,롯데,61
5104,전복죽,61
756,현지,61
484,세제,61
365,야채,61
3989,직장,61
1149,비주,60
354,결과,60
2999,내년,60
5078,와이프,60
2034,한지,60
82,유튜브,60
6630,존맛,60
1584,높이,60
2801,분리수거,60
6081,럭셔리,59
1331,고요,59
3733,돈가스,59
1462,지고,59
1654,공연,59
1350,조천,59
2199,농장,59
1338,문화,59
1061,표시,59
