id,name,addr,lat,lng,dong,detailtype
1860,백수당,제주특별자치도 제주시 구좌읍 월정1길 63,33.5565236446807,126.79350679733,구좌읍 월정리,60
1861,벙커하우스,제주특별자치도 서귀포시 막숙포로41번길 66,33.2404621096995,126.519224758808,법환동,60
1862,베콩스,제주특별자치도 제주시 조천읍 신북로 479-2,33.5435378606833,126.661624762526,조천읍 함덕리,60
1863,보롬왓,제주특별자치도 서귀포시 표선면 번영로 2350-104,33.4134956403949,126.752494805945,표선면 성읍리,60
1864,본카페,제주특별자치도 제주시 애월읍 애월해안로 179,33.4677832169339,126.332076364484,애월읍 고내리,60
1865,볼스카페,제주특별자치도 서귀포시 일주서로 626,33.2534011805032,126.44248234513,회수동,60
1866,봉구의간식,제주특별자치도 제주시 애월읍 애월로 110,33.464521376059,126.319100939372,애월읍 애월리,60
1867,봉구의간식제주롯데마트점,제주특별자치도 제주시 연북로 1,33.4824421892687,126.481834000763,노형동,60
1868,뵤뵤,제주특별자치도 제주시 한림읍 명재로 155,33.3925301203484,126.263079554742,한림읍 명월리,60
1869,북촌돌하르방미술관,제주특별자치도 제주시 조천읍 북촌서1길 70,33.538847495859,126.688812252251,조천읍 북촌리,60
1870,블란디야,제주특별자치도 서귀포시 법환로 15,33.2366390634091,126.513554206617,법환동,60
1871,블랙이쉬레드,제주특별자치도 제주시 애월읍 하소로 769-10,33.4160468362549,126.398552697244,애월읍 유수암리,60
1872,블루메베이글,제주특별자치도 제주시 가령로4길 3,33.4967135854192,126.533099185111,이도이동,60
1873,블리스풀,제주특별자치도 제주시 애월읍 산록서로 383,33.4051774883172,126.407254897899,애월읍 유수암리,60
1874,비만고양이,제주특별자치도 제주시 신성로13길 31,33.4976190931895,126.530532186591,이도이동,60
1875,비체올린,제주시 한경면 판조로 253-6,33.3494476861153,126.218190777807,한경면 판포리,60
1876,삐삐그루밍,제주특별자치도 서귀포시 대정읍 중산간서로 2269,33.2806351400989,126.286062533426,대정읍 구억리,60
1877,산방산둘레길,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.2334821266939,126.314630553022,안덕면 사계리,60
1878,삼양해수욕장,제주특별자치도 제주시 삼양이동 1960-4,33.521885794087,126.585599365994,삼양이동,60
1879,삼화훈동물병원,제주특별자치도 제주시 동화로 12,33.5187754076762,126.572707144319,화북일동,60
1880,새물국수,제주특별자치도 서귀포시 안덕면 화순해안로 63,33.2412244700492,126.333591567172,안덕면 화순리,60
1881,새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,33.3674086988003,126.355252824574,애월읍 봉성리,60
1882,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675,33.3255844945227,126.255005128834,한경면 저지리,60
1883,서귀포 늘바다 애견동반펜션,제주특별자치도 서귀포시 안덕면 대평로 38,33.2372431567244,126.363610165584,안덕면 창천리,60
1884,서귀포돈사촌,제주특별자치도 서귀포시 동홍중앙로52번길 4,33.2552198436622,126.572548807658,동홍동,60
1885,서귀포흑돈,제주특별자치도 서귀포시 칠십리로 278,33.24787337171,126.582210932211,토평동,60
1886,서머셋 제주신화월드 호텔앤리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 89,33.3028879130473,126.317536700937,안덕면 서광리,60
1887,서우봉,제주특별자치도 제주시 조천읍 함덕리 169-1,33.5453640420364,126.677541150367,조천읍 함덕리,60
1888,서프라이즈테마파크,제주특별자치도 제주시 조천읍 남조로 2243,33.4651795201705,126.6595999538,조천읍 와흘리,60
1889,서홍정원,제주 서귀포시 솜반천로55번길 12-8,33.2525878046595,126.554413726655,서홍동,60
1890,섭지코지,제주 서귀포시 성산읍 고성리,33.4493165910551,126.90826946679,성산읍 고성리,60
1891,성산마씸,제주특별자치도 서귀포시 성산읍 한도로 257,33.4661151338583,126.93495479776,성산읍 성산리,60
1892,성산연화,제주특별자치도 서귀포시 성산읍 성산중앙로 22,33.4618570222651,126.932443544895,성산읍 성산리,60
1893,성산풀하우스,제주특별자치도 서귀포시 성산읍 환해장성로121번길 21-4,33.3842437793007,126.879735906715,성산읍 신산리,60
1894,성이시돌목장,제주특별자치도 제주시 한림읍 산록남로 53,33.3459802899171,126.321867724832,한림읍 금악리,60
1895,소금빵까페 키친오즈,제주시 한림읍 협재로 208,33.3800620602414,126.251201648021,한림읍 협재리,60
1896,소노벨제주,제주특별자치도 제주시 조천읍 신북로 577,33.5410260306975,126.67113074618,조천읍 함덕리,60
1897,소노캄제주,제주특별자치도 서귀포시 표선면 일주동로 6347-17,33.3060125889033,126.792894733152,표선면 토산리,60
