name,score,reviewNum,price,link
서귀포 해와돌바라기펜션,5.0,16.0,55000.0,/pension/10039890
서귀포 굿모닝하우스펜션,4.6,16.0,,/pension/10044908
제주 더포레스트애월,4.3,16.0,138150.0,/pension/10041053
제주 랑데뷰펜션,4.7,98.0,79000.0,/pension/1000108882
제주 애월코스트34펜션,4.4,9.0,47000.0,/pension/10045487
서귀포 하이맘키즈가족펜션골드,3.8,21.0,99000.0,/pension/10043418
제주 선스테이호텔펜션(신축),4.8,12.0,74700.0,/pension/10043400
제주 바나바하도펜션,4.8,56.0,,/pension/1000110749
서귀포 제주더비비스펜션,4.7,29.0,,/pension/1000112138
제주 순덕이별당펜션,4.4,21.0,90000.0,/pension/1000113429
서귀포 팜밸리풀빌라,4.6,121.0,83500.0,/pension/1000108460
서귀포 내려놓기펜션,5.0,7.0,,/pension/10047864
서귀포 컨트리팜펜션(조식제공),4.4,11.0,48000.0,/pension/10047535
"서귀포 키아오라리조트(애견동반,성산일출봉)",4.8,11.0,55000.0,/pension/10044888
제주 관음사가는길펜션(한라산인근),4.2,15.0,65000.0,/pension/10043420
제주 애월UFO펜션,4.8,36.0,50000.0,/pension/1000111157
서귀포 아도록스테이펜션,5.0,10.0,,/pension/10044168
제주 비라비스테이펜션,4.4,9.0,108200.0,/pension/10051199
제주 스위스마을뮤렌펜션(414동),4.5,11.0,50000.0,/pension/1000102480
제주 바사팬스파펜션,4.8,10.0,100000.0,/pension/10043422
제주 프라이빗애월독채펜션,4.8,7.0,,/pension/10043401
제주 한동이젠펜션,4.6,10.0,51000.0,/pension/10047909
서귀포 스테이수산펜션,5.0,13.0,100000.0,/pension/10040785
제주 그림리조트,3.9,115.0,50000.0,/pension/1000109195
서귀포 삼춘네캠핑하우스펜션,4.7,10.0,300000.0,/pension/10044912
제주 애월바다타운독채펜션,5.0,8.0,,/pension/10044936
제주 오쿠다펜션,5.0,10.0,260000.0,/pension/10041165
서귀포 레스트인제주,5.0,9.0,,/pension/10042427
