,h17_merkey,pid,inhouse_num,relation,sex,birth,edu,edu_detail,disable_type,disable_degree,marriage,religion,live_together,industry,job,inc_regular,inc_temp,inc_owner,age,sex_factor,marriage2,religion_factor,inc,inc_log,h17_reg5,h17_reg7,region5,region7
14037,108521701.0,1085203.0,3.0,11.0,1.0,1996.0,7.0,5.0,0.0,0.0,5.0,1,1.0,,,,600.0,,27,male,0.0,yes,600.0,6.396929655216146,2.0,4.0,광역시,대구/경북
14038,108521701.0,1085204.0,4.0,12.0,1.0,2000.0,7.0,1.0,0.0,0.0,5.0,1,1.0,,,,488.0,,23,male,0.0,yes,488.0,6.1903154058531475,2.0,4.0,광역시,대구/경북
14039,108531701.0,1085301.0,1.0,10.0,2.0,1950.0,4.0,5.0,0.0,0.0,2.0,1,1.0,,,,,,73,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14040,108531701.0,1085302.0,2.0,2.0,2.0,1925.0,2.0,0.0,0.0,0.0,2.0,1,1.0,,,,,,98,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14041,108531701.0,1085303.0,3.0,31.0,1.0,1958.0,4.0,5.0,0.0,0.0,5.0,0,1.0,,,,,,65,male,0.0,no,,,2.0,4.0,광역시,대구/경북
14042,108541701.0,1085401.0,1.0,10.0,2.0,1965.0,7.0,5.0,0.0,0.0,3.0,1,1.0,68.0,274.0,,,672.0,58,female,2.0,yes,672.0,6.51025834052315,2.0,4.0,광역시,대구/경북
14043,108541701.0,1085402.0,2.0,11.0,1.0,2001.0,7.0,1.0,0.0,0.0,5.0,0,1.0,,,,,,22,male,0.0,no,,,2.0,4.0,광역시,대구/경북
14044,108551701.0,1085501.0,1.0,10.0,1.0,1948.0,4.0,5.0,16.0,3.0,2.0,1,1.0,,,,,,75,male,2.0,yes,,,2.0,4.0,광역시,대구/경북
14045,108561701.0,1085601.0,1.0,10.0,2.0,1940.0,5.0,5.0,0.0,0.0,2.0,1,1.0,,,,,,83,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14046,108571701.0,1085701.0,1.0,10.0,2.0,1941.0,3.0,3.0,1.0,2.0,2.0,1,1.0,,,,,,82,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14047,108581701.0,1085801.0,1.0,10.0,2.0,1938.0,4.0,5.0,4.0,2.0,2.0,0,1.0,87.0,941.0,,324.0,,85,female,2.0,no,324.0,5.780743515792329,2.0,4.0,광역시,대구/경북
14048,108591701.0,1085901.0,1.0,10.0,1.0,1953.0,4.0,5.0,0.0,0.0,1.0,1,1.0,87.0,421.0,,1116.0,,70,male,1.0,yes,1116.0,7.017506142941256,2.0,4.0,광역시,대구/경북
14049,108591701.0,1085902.0,2.0,20.0,2.0,1955.0,4.0,5.0,2.0,1.0,1.0,1,1.0,,,,,,68,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
14050,108601701.0,1086001.0,1.0,10.0,1.0,1964.0,7.0,5.0,0.0,0.0,1.0,1,1.0,1.0,611.0,,,,59,male,1.0,yes,,,2.0,4.0,광역시,대구/경북
14051,108601701.0,1086002.0,2.0,20.0,2.0,1962.0,5.0,5.0,0.0,0.0,1.0,1,1.0,,,,617.0,,61,female,1.0,yes,617.0,6.424869023905388,2.0,4.0,광역시,대구/경북
14052,108611701.0,1086101.0,1.0,10.0,1.0,1984.0,6.0,5.0,0.0,0.0,1.0,0,1.0,27.0,245.0,,,5211.0,39,male,1.0,no,5211.0,8.558527054909215,2.0,4.0,광역시,대구/경북
14053,108611701.0,1086102.0,2.0,20.0,2.0,1984.0,7.0,5.0,0.0,0.0,1.0,0,1.0,,,,,,39,female,1.0,no,,,2.0,4.0,광역시,대구/경북
14054,108611701.0,1086103.0,3.0,11.0,1.0,2019.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,4,male,,no,,,2.0,4.0,광역시,대구/경북
14055,108611701.0,1086104.0,4.0,12.0,2.0,2021.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,2,female,,no,,,2.0,4.0,광역시,대구/경북
14056,108621701.0,1086201.0,1.0,10.0,1.0,1937.0,5.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,86,male,1.0,yes,,,2.0,4.0,광역시,대구/경북
14057,108621701.0,1086202.0,2.0,20.0,2.0,1941.0,3.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,82,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
14058,108631701.0,1086301.0,1.0,10.0,1.0,1965.0,7.0,5.0,0.0,0.0,1.0,0,1.0,41.0,782.0,6208.0,,,58,male,1.0,no,6208.0,8.733594061863055,2.0,4.0,광역시,대구/경북
14059,108631701.0,1086302.0,2.0,20.0,2.0,1969.0,7.0,5.0,0.0,0.0,1.0,0,1.0,65.0,312.0,8080.0,,,54,female,1.0,no,8080.0,8.997147151515142,2.0,4.0,광역시,대구/경북
14060,108631701.0,1086303.0,3.0,11.0,2.0,2000.0,5.0,5.0,0.0,0.0,5.0,0,1.0,,,,,,23,female,0.0,no,,,2.0,4.0,광역시,대구/경북
14061,108631701.0,1086304.0,4.0,12.0,1.0,2003.0,5.0,1.0,0.0,0.0,5.0,0,1.0,,,,,,20,male,0.0,no,,,2.0,4.0,광역시,대구/경북
14062,108641701.0,1086401.0,1.0,10.0,1.0,1941.0,3.0,5.0,4.0,2.0,1.0,1,1.0,,,,,,82,male,1.0,yes,,,2.0,4.0,광역시,대구/경북
14063,108641701.0,1086402.0,2.0,20.0,2.0,1941.0,3.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,82,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
14064,108651701.0,1086501.0,1.0,10.0,1.0,1955.0,4.0,5.0,0.0,0.0,1.0,1,1.0,41.0,910.0,,1315.0,,68,male,1.0,yes,1315.0,7.181591944611865,2.0,4.0,광역시,대구/경북
14065,108651701.0,1086502.0,2.0,20.0,2.0,1957.0,3.0,5.0,0.0,0.0,1.0,1,1.0,,,,500.0,,66,female,1.0,yes,500.0,6.214608098422191,2.0,4.0,광역시,대구/경북
14066,108661701.0,1086601.0,1.0,10.0,2.0,1944.0,2.0,0.0,0.0,0.0,2.0,1,1.0,94.0,941.0,,297.0,,79,female,2.0,yes,297.0,5.6937321388027,2.0,4.0,광역시,대구/경북
14067,108671701.0,1086701.0,1.0,10.0,1.0,1963.0,7.0,5.0,0.0,0.0,1.0,1,1.0,87.0,247.0,5500.0,,,60,male,1.0,yes,5500.0,8.612503371220562,2.0,4.0,광역시,대구/경북
14068,108671701.0,1086702.0,2.0,20.0,2.0,1963.0,7.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,60,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
14069,108671701.0,1086703.0,3.0,12.0,2.0,1998.0,7.0,5.0,0.0,0.0,5.0,1,1.0,,,,,,25,female,0.0,yes,,,2.0,4.0,광역시,대구/경북
14070,108681701.0,1086801.0,1.0,10.0,1.0,1955.0,3.0,5.0,0.0,0.0,3.0,0,1.0,47.0,941.0,,1200.0,,68,male,2.0,no,1200.0,7.090076835776092,2.0,4.0,광역시,대구/경북
14071,108691701.0,1086901.0,1.0,10.0,1.0,1985.0,5.0,5.0,0.0,0.0,1.0,0,1.0,25.0,743.0,2920.0,,,38,male,1.0,no,2920.0,7.979338895262328,2.0,4.0,광역시,대구/경북
14072,108691701.0,1086902.0,2.0,20.0,2.0,1983.0,7.0,5.0,0.0,0.0,1.0,0,1.0,84.0,311.0,1000.0,,,40,female,1.0,no,1000.0,6.907755278982137,2.0,4.0,광역시,대구/경북
14073,108691701.0,1086903.0,3.0,11.0,2.0,2020.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,3,female,,no,,,2.0,4.0,광역시,대구/경북
14074,108701701.0,1087001.0,1.0,10.0,2.0,1944.0,5.0,5.0,0.0,0.0,2.0,1,1.0,87.0,952.0,,324.0,,79,female,2.0,yes,324.0,5.780743515792329,2.0,4.0,광역시,대구/경북
14075,108711701.0,1087101.0,1.0,10.0,2.0,1951.0,7.0,5.0,0.0,0.0,3.0,1,1.0,,,,,,72,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14076,108721701.0,1087201.0,1.0,10.0,1.0,1945.0,3.0,5.0,1.0,2.0,1.0,0,1.0,,,,,,78,male,1.0,no,,,2.0,4.0,광역시,대구/경북
14077,108721701.0,1087202.0,2.0,20.0,2.0,1949.0,4.0,5.0,0.0,0.0,1.0,0,1.0,,,,,,74,female,1.0,no,,,2.0,4.0,광역시,대구/경북
14078,108731701.0,1087301.0,1.0,10.0,2.0,1948.0,2.0,0.0,0.0,0.0,2.0,1,1.0,,,,,,75,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14079,108741701.0,1087401.0,1.0,10.0,2.0,1951.0,3.0,5.0,0.0,0.0,2.0,0,1.0,84.0,941.0,,297.0,,72,female,2.0,no,297.0,5.6937321388027,2.0,4.0,광역시,대구/경북
14080,108751701.0,1087501.0,1.0,10.0,2.0,1948.0,3.0,5.0,0.0,0.0,2.0,1,1.0,,,,,,75,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14081,108761701.0,1087601.0,1.0,10.0,2.0,1964.0,5.0,5.0,0.0,0.0,2.0,1,1.0,84.0,941.0,,1620.0,,59,female,2.0,yes,1620.0,7.3901814282264295,2.0,4.0,광역시,대구/경북
14082,108771701.0,1087701.0,1.0,10.0,1.0,1944.0,4.0,3.0,0.0,0.0,2.0,0,1.0,,,,,,79,male,2.0,no,,,2.0,4.0,광역시,대구/경북
14083,108781701.0,1087801.0,1.0,10.0,2.0,1967.0,7.0,3.0,0.0,0.0,3.0,0,1.0,,,,94.0,,56,female,2.0,no,94.0,4.543294782270004,2.0,4.0,광역시,대구/경북
14084,108791701.0,1087901.0,1.0,10.0,2.0,1957.0,3.0,5.0,0.0,0.0,3.0,1,1.0,,,,,,66,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14085,108801701.0,1088001.0,1.0,10.0,2.0,1939.0,2.0,0.0,0.0,0.0,2.0,1,1.0,,,,,,84,female,2.0,yes,,,2.0,4.0,광역시,대구/경북
14086,108811701.0,1088101.0,1.0,10.0,2.0,1936.0,2.0,0.0,2.0,2.0,2.0,0,1.0,,,,,,87,female,2.0,no,,,2.0,4.0,광역시,대구/경북
14087,108821701.0,1088201.0,1.0,10.0,2.0,1945.0,2.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,78,female,1.0,yes,,,2.0,4.0,광역시,대구/경북
14088,108821701.0,1088202.0,2.0,20.0,1.0,1940.0,5.0,5.0,1.0,1.0,1.0,1,1.0,,,,,,83,male,1.0,yes,,,2.0,4.0,광역시,대구/경북
14089,108831701.0,1088301.0,1.0,10.0,1.0,1983.0,7.0,5.0,0.0,0.0,1.0,0,1.0,,,,,2000.0,40,male,1.0,no,2000.0,7.600902459542082,2.0,4.0,광역시,대구/경북
14090,108831701.0,1088302.0,2.0,20.0,2.0,1988.0,7.0,5.0,0.0,0.0,1.0,0,1.0,56.0,442.0,,,4324.0,35,female,1.0,no,4324.0,8.371936178759098,2.0,4.0,광역시,대구/경북
14091,108831701.0,1088303.0,3.0,11.0,1.0,2017.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,6,male,,no,,,2.0,4.0,광역시,대구/경북
